Angle1,Angle2,Angle3,Angle4,Angle5,Angle6,Angle7,Angle8
-39.20036469786329,-194.72947217141103,-235.5838885782281,-133.5823177039854,-238.8909759864172,-192.1262776770344,-215.74747394064886,-111.55303272971145
-57.03943282855636,-192.669019144015,-236.1478388628066,-134.86449700857062,-218.3202782559651,-187.2058377288572,-215.1899514889466,-110.98513079013533
-60.690557444392475,-193.62681330867235,-238.2864538550281,-135.96538954755033,-225.7667257724174,-191.41684690736182,-215.31762707458327,-110.86127331148371
-92.09203156763847,-191.91625129169725,-238.6550473170371,-136.18144805850858,-230.5742301080068,-189.35162068826693,-216.3276658971172,-111.94658987347817
-113.68924146960507,-191.05189797770777,-238.8335583883857,-138.8030820810794,-256.9015879633645,-191.38724105948273,-216.15749091039345,-115.41074698394118
-147.11367235995823,-190.82746393465032,-240.3615586124475,-140.03067512055318,-255.57244672780342,-191.68146727105125,-215.69359313757454,-114.95588493024796
108.55493704493173,-187.5493626380561,-237.88173094001078,-136.1265991925386,66.78970426152014,-188.30029444396058,-214.48897767704477,-114.48965128994685
57.12741052416558,-183.1969657537405,-234.4090067277977,-126.86140996710218,50.93585922536652,-186.57288515772908,-214.81910662318535,-113.49075582140459
57.296451338007316,-183.60089191130464,-233.25138008518238,-129.4698481381606,55.68366692415342,-187.93561201769964,-213.7975470503983,-112.72764632190534
67.92658298550316,-184.50917362499922,-231.16764433085746,-129.03731946370036,65.55745545734321,-189.80039071716374,-212.80634612037397,-113.22670812869356
57.8023402706131,-183.69564994619034,-229.1329476546405,-127.95805768096199,63.826698724755545,-189.93423546206128,-210.69729569600236,-113.0747388175378
82.88245057977522,-185.91900782928536,-225.57783685020772,-124.44534545943439,72.12100286947822,-190.71894404899027,-210.30927087129226,-114.45580204358625
96.8248488882572,-188.03693326918358,-225.8908998899476,-123.99285025893386,76.50738040387127,-191.16105904816806,-211.0090392043828,-115.43018489283641
79.66458865098062,-186.79855846435925,-226.83119422417886,-124.2678347504229,73.45494396800382,-190.69543081283857,-211.70050405645114,-115.3376471486813
